subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,condition
103,101,103_101,3_before,55.0,0.0,1357.0,strangers
101,103,103_101,3_before,38.0,0.0,1357.0,strangers
103,101,103_101,long_gap,58.0,3.0,1357.0,strangers
101,103,103_101,long_gap,39.0,1.0,1357.0,strangers
103,101,103_101,1_before,56.65,1.6499999999999986,1357.0,strangers
101,103,103_101,1_before,39.0,1.0,1357.0,strangers
103,101,103_101,2_before,55.0,0.0,1357.0,strangers
101,103,103_101,2_before,39.0,1.0,1357.0,strangers
103,101,103_101,1_after,58.5,3.5,1357.0,strangers
101,103,103_101,1_after,37.6,-0.3999999999999986,1357.0,strangers
103,101,103_101,2_after,59.95,4.950000000000003,1357.0,strangers
101,103,103_101,2_after,38.5,0.5,1357.0,strangers
103,101,103_101,3_after,53.0,-2.0,1357.0,strangers
101,103,103_101,3_after,39.0,1.0,1357.0,strangers
103,101,103_101,3_before,53.0,0.0,1273.0,strangers
101,103,103_101,3_before,39.05,0.0,1273.0,strangers
103,101,103_101,long_gap,53.0,0.0,1273.0,strangers
101,103,103_101,long_gap,39.61538461538461,0.565384615384616,1273.0,strangers
103,101,103_101,1_before,53.0,0.0,1273.0,strangers
101,103,103_101,1_before,38.8,-0.25,1273.0,strangers
103,101,103_101,2_before,53.0,0.0,1273.0,strangers
101,103,103_101,2_before,36.6,-2.4499999999999957,1273.0,strangers
103,101,103_101,1_after,53.0,0.0,1273.0,strangers
101,103,103_101,1_after,38.7,-0.3499999999999943,1273.0,strangers
103,101,103_101,2_after,53.0,0.0,1273.0,strangers
101,103,103_101,2_after,37.0,-2.049999999999997,1273.0,strangers
103,101,103_101,3_after,53.0,0.0,1273.0,strangers
101,103,103_101,3_after,39.9,0.8500000000000014,1273.0,strangers
103,101,103_101,3_before,53.0,0.0,1269.0,strangers
101,103,103_101,3_before,37.0,0.0,1269.0,strangers
103,101,103_101,long_gap,53.0,0.0,1269.0,strangers
101,103,103_101,long_gap,61.0,24.0,1269.0,strangers
103,101,103_101,1_before,53.0,0.0,1269.0,strangers
101,103,103_101,1_before,61.0,24.0,1269.0,strangers
103,101,103_101,2_before,53.0,0.0,1269.0,strangers
101,103,103_101,2_before,46.25,9.25,1269.0,strangers
103,101,103_101,1_after,53.0,0.0,1269.0,strangers
101,103,103_101,1_after,61.0,24.0,1269.0,strangers
103,101,103_101,2_after,53.0,0.0,1269.0,strangers
101,103,103_101,2_after,61.0,24.0,1269.0,strangers
103,101,103_101,3_after,53.0,0.0,1269.0,strangers
101,103,103_101,3_after,61.0,24.0,1269.0,strangers
103,101,103_101,3_before,63.0,0.0,2388.0,strangers
101,103,103_101,3_before,71.0,0.0,2388.0,strangers
103,101,103_101,long_gap,63.0,0.0,2388.0,strangers
101,103,103_101,long_gap,71.0,0.0,2388.0,strangers
103,101,103_101,1_before,63.0,0.0,2388.0,strangers
101,103,103_101,1_before,71.0,0.0,2388.0,strangers
103,101,103_101,2_before,63.0,0.0,2388.0,strangers
101,103,103_101,2_before,71.0,0.0,2388.0,strangers
103,101,103_101,1_after,63.0,0.0,2388.0,strangers
101,103,103_101,1_after,70.7,-0.29999999999999716,2388.0,strangers
103,101,103_101,2_after,63.95,0.9500000000000028,2388.0,strangers
101,103,103_101,2_after,46.05,-24.950000000000003,2388.0,strangers
103,101,103_101,3_after,65.0,2.0,2388.0,strangers
101,103,103_101,3_after,43.0,-28.0,2388.0,strangers
103,101,103_101,3_before,74.35,0.0,2183.0,strangers
101,103,103_101,3_before,76.0,0.0,2183.0,strangers
103,101,103_101,long_gap,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,long_gap,76.0,0.0,2183.0,strangers
103,101,103_101,1_before,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,1_before,76.0,0.0,2183.0,strangers
103,101,103_101,2_before,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,2_before,76.0,0.0,2183.0,strangers
103,101,103_101,1_after,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,1_after,75.35,-0.6500000000000057,2183.0,strangers
103,101,103_101,2_after,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,2_after,75.0,-1.0,2183.0,strangers
103,101,103_101,3_after,79.0,4.650000000000006,2183.0,strangers
101,103,103_101,3_after,75.0,-1.0,2183.0,strangers
103,101,103_101,3_before,82.0,0.0,2612.0,strangers
101,103,103_101,3_before,77.85,0.0,2612.0,strangers
103,101,103_101,long_gap,82.15384615384616,0.1538461538461604,2612.0,strangers
101,103,103_101,long_gap,68.42307692307692,-9.426923076923075,2612.0,strangers
103,101,103_101,1_before,82.0,0.0,2612.0,strangers
101,103,103_101,1_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,2_before,82.0,0.0,2612.0,strangers
101,103,103_101,2_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,1_after,80.0,-2.0,2612.0,strangers
101,103,103_101,1_after,51.9,-25.949999999999996,2612.0,strangers
103,101,103_101,2_after,80.0,-2.0,2612.0,strangers
101,103,103_101,2_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_after,80.0,-2.0,2612.0,strangers
101,103,103_101,3_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_before,80.0,0.0,1636.0,strangers
101,103,103_101,3_before,38.0,0.0,1636.0,strangers
103,101,103_101,long_gap,76.0,-4.0,1636.0,strangers
101,103,103_101,long_gap,38.0,0.0,1636.0,strangers
103,101,103_101,1_before,76.0,-4.0,1636.0,strangers
101,103,103_101,1_before,38.0,0.0,1636.0,strangers
103,101,103_101,2_before,76.9,-3.0999999999999943,1636.0,strangers
101,103,103_101,2_before,38.0,0.0,1636.0,strangers
103,101,103_101,1_after,72.55,-7.450000000000003,1636.0,strangers
101,103,103_101,1_after,38.0,0.0,1636.0,strangers
103,101,103_101,2_after,49.95,-30.049999999999997,1636.0,strangers
101,103,103_101,2_after,38.0,0.0,1636.0,strangers
103,101,103_101,3_after,48.0,-32.0,1636.0,strangers
101,103,103_101,3_after,38.0,0.0,1636.0,strangers
103,101,103_101,3_before,48.0,0.0,1287.0,strangers
101,103,103_101,3_before,38.0,0.0,1287.0,strangers
103,101,103_101,long_gap,48.0,0.0,1287.0,strangers
101,103,103_101,long_gap,38.0,0.0,1287.0,strangers
103,101,103_101,1_before,48.0,0.0,1287.0,strangers
101,103,103_101,1_before,38.0,0.0,1287.0,strangers
103,101,103_101,2_before,48.0,0.0,1287.0,strangers
101,103,103_101,2_before,38.0,0.0,1287.0,strangers
